method,statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
biolord,mean,0.15507042733786733,0.07838028169014086,0.08850044365426217,0.11085808344562097,0.14576300208248405,0.1947557400295074,0.07838028169014086,0.08847711267605632,0.10976232394366198,0.1448855633802817,0.21133490856052012,0.6138522295411419,0.1845157072238262,0.9675514350580184,346.30105633802816,1724.2640845070423,0.21251087590748535,0.580593804221533,0.11394712902655953,0.33815013011261613,0.15393104257298187,0.3381501300207956,0.1539310425926577,0.6735634980658599,0.5352159169807578,0.5493290951696093,0.21037999708678984,0.5094451861254916
context_mean,mean,0.17278491956910658,0.07855633802816901,0.09176936619718308,0.1086399647887324,0.18009154929577464,0.18448680827630856,0.07855633802816901,0.09175502021014675,0.10886109016158103,0.1735611331052074,0.2816467701382409,0.49369203626838376,0.09921105000537603,0.17278491956910658,1997.219190140845,346.30105633802816,0.9972819423152312,0.4983609207794677,-0.00012097768092029532,0.33432087548811673,0.1555277000797886,0.3343208712119032,0.15552769969938926,0.5004401408450704,0.5004401408450704,0.5018512261951994,0.021175136024790566,0.0
cpa,mean,0.23278518058939798,0.1664612676056338,0.18651560042358706,0.2017565193040257,0.22632668686956747,0.18203713851771924,0.1664612676056338,0.18652846657409242,0.20068106510061204,0.20850856431583611,0.6215453720334335,0.7496481645882863,0.46058095508268326,0.821398249336065,346.30105633802816,1549.6593309859154,0.21256979727257844,0.562021457856726,0.7435370131918806,0.053004327225236514,0.06535667382364332,0.009920559977230445,0.025631494628278618,0.9374418828109503,0.9108397081432255,0.9529940426006744,0.8937757391988148,0.5509932119680243
pca_ridge,mean,0.173106605246026,0.08544014084507043,0.09557218309859154,0.1120774647887324,0.18919718309859157,0.19576138583999286,0.08544014084507043,0.09562535963679485,0.11292806972811768,0.184948877426778,0.22424942986255283,0.5215325328471812,0.14080791624132732,0.173106605246026,1991.5616197183099,346.30105633802816,0.9960939988813313,0.682969931662859,0.08468997645996097,0.2986473852217617,0.15579361198338823,0.2986473840018603,0.15579361160298888,0.5252980249454473,0.5529060144316604,0.8155205440388812,0.06860778780146466,0.31242100878821244
perturb_mean,mean,0.2095033041661498,0.08443661971830986,0.10221663445785166,0.13231524380102574,0.1992889564501156,0.17830883323716445,0.08443661971830986,0.10220950704225354,0.13144806338028167,0.1966443661971831,0.3339062711104757,0.6244085818115481,0.21279735071279363,0.9901863007866876,346.30105633802816,1923.4735915492959,0.19112616861423384,0.5230797523159064,0.08840887154179705,0.33502870142905855,0.15349682674310366,0.33502870100930754,0.1534968266381659,0.6526901284467368,0.5223464466375719,0.5292096992164254,0.13092022128949715,0.34381344946791287
scgen,mean,0.17127209192102721,0.05867957746478873,0.0624059619238528,0.11501719273254021,0.16263097233671714,0.1726241165959725,0.05867957746478873,0.06240316901408449,0.11586267605633803,0.1605176056338028,0.2209406440234344,0.6939435975150402,0.3599686324165618,0.9950455293375966,346.30105633802816,1997.743838028169,0.1922187453059463,0.5055011146632494,0.4043035082743277,0.043193543124878386,0.06463761345981817,0.04319354306749055,0.06463761340734929,0.629766384397937,0.635031801725848,0.7114365329299742,0.29387555413739036
scVI,mean,0.4132151310413012,0.12375000000000001,0.15649517051281173,0.25044409025527264,0.398611070736366,0.1731502713441731,0.12375000000000001,0.15640845070422532,0.24747799295774647,0.32334330985915494,0.03846207122172185,0.49491512056966436,-0.003780686514929187,0.9999981998329446,346.30105633802816,1999.993838028169,0.17348969470356795,0.5002915442675102,-0.06611265953852381,34.18791071294059,1.8791247539117302,34.187910477880024,1.8791247528623527,0.5014327824340409,0.515614151458044,0.5340868937214839,0.04631530029954678,0.37160568069403926
scVI_with_log1p,mean,0.09210868487294664,0.05741197183098591,0.060167779321579413,0.0703648043758769,0.0877321414617808,0.1731502713441731,0.05741197183098591,0.06022007042253521,0.07035651408450704,0.0885669014084507,0.03846207122172184,0.49424593622016844,0.3820443259409806,0.9999981998329446,346.30105633802816,1999.993838028169,0.17348969470356795,0.5002915442675102,-0.05430418685592857,0.5850568350247094,0.474331351993999,0.5850568373858089,0.4743313523088123,0.5009430482543146,0.5141325505852014,0.5157613816703035,0.45542077648490015,0.4743696993889113
