statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
count,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.4635610999035725,0.04131926121372033,0.07530343007915563,0.1362401055408971,0.31862329616029816,0.43117987619454057,0.04131926121372033,0.07530343007915563,0.1362401055408971,0.3186860158311346,0.17685826204467436,0.511457087345244,-0.036650069623980125,0.9768010823962263,732.0263852242743,1657.1978891820581,0.5917440327689265,0.7894558324417491,0.19311605692296818,0.07645085995579458,0.1171227126605907,0.07645085977886787,0.11712271264093217,0.5204990218670157,0.5628476549174678,0.5436957414665728,0.5927573266891167,0.4304932283853737
std,0.09129100325380766,0.027933233387760152,0.023917854654467118,0.02760104813571199,0.04387310674270411,0.09738385894613914,0.027933233387760152,0.023917854654467118,0.02760104813571199,0.04388023731939125,3.878220694618472e-17,0.18634394827579162,0.11745362862015982,0.014332752387252491,171.6264688345702,69.88418533983223,0.10350729307468425,0.035216400102580744,0.20271985518713642,0.011195369393540782,0.00835401937804858,0.01119536941409324,0.008354019361013132,0.2911327443666724,0.28976141819728324,0.2982417132530715,2.452802132758938e-16,4.478183524029505e-17
min,0.25510204081632654,0.0,0.01,0.065,0.212,0.23845193508114856,0.0,0.01,0.065,0.212,0.17685826204467417,0.09967845659163987,-0.33096219876922717,0.8171122994652407,392.0,1061.0,0.315618910721119,0.6269370969864457,-0.3604694902896881,0.05075179412961006,0.08491526544094086,0.05075179412961006,0.08491526544094086,0.0026385224274406704,0.01055408970976257,0.0026385224274406704,0.5927573266891168,0.43049322838537396
25%,0.4,0.02,0.06,0.115,0.292,0.36133415688696724,0.02,0.06,0.115,0.292,0.17685826204467417,0.36875,-0.12119926074745126,0.9721669980119284,609.0,1620.0,0.5231684126232188,0.7668847505061331,0.08538683503866196,0.06873579323291779,0.11122839897871017,0.06873579323291779,0.11122839897871017,0.26649076517150394,0.3324538258575198,0.3007915567282322,0.5927573266891168,0.43049322838537396
50%,0.4477211796246649,0.04,0.07,0.135,0.314,0.4083431257344301,0.04,0.07,0.135,0.314,0.17685826204467417,0.5222929936305732,-0.050510124343415556,0.9783001808318263,696.0,1663.0,0.5751135938745984,0.7854780969187749,0.231171652674675,0.07502195239067078,0.11657900363206863,0.07502195239067078,0.11657900363206863,0.5382585751978892,0.5936675461741425,0.5910290237467019,0.5927573266891168,0.43049322838537396
75%,0.5150060024009604,0.06,0.09,0.155,0.338,0.4858689116055322,0.06,0.09,0.155,0.338,0.17685826204467417,0.6476868327402135,0.034416136035533715,0.9854586129753915,812.0,1702.0,0.649684753415695,0.8062574323930677,0.33286309242248535,0.0830082967877388,0.12320137023925781,0.0830083042383194,0.12320137023925781,0.7757255936675462,0.820580474934037,0.8153034300791557,0.5927573266891168,0.43049322838537396
max,0.8164768921634293,0.16,0.15,0.23,0.546,0.8079904591532499,0.16,0.15,0.23,0.546,0.17685826204467417,0.8907975460122699,0.30047170746482005,0.997002997002997,1493.0,1877.0,0.8894701569154555,0.9116987333750461,0.7008386850357056,0.13490884006023407,0.13768206536769867,0.13490884006023407,0.13768206536769867,1.0,1.0,1.0,0.5927573266891168,0.43049322838537396
