statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
count,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.3695166523700222,0.042005277044854884,0.07802110817941948,0.1272954866613894,0.2835884648698828,0.3657863355584004,0.042005277044854884,0.07802110817941948,0.1271635883905013,0.2875883905013193,-0.035403140096618234,0.3722109959214047,-0.13242109450995762,0.9324225311088822,550.7546174142481,1413.263852242744,0.5177076800716824,0.8050773513797256,0.15091433349565547,0.05630270394651431,0.08038964405616544,0.056302704054636186,0.08038964415445805,0.525650754311095,0.5456380838340028,0.5538878175451298,0.47249678185945226,0.3953907021296204
std,0.17501850940367597,0.030275454524784633,0.027641690348629847,0.03226828904120821,0.07700349675125637,0.1677448036946817,0.030275454524784633,0.027641690348629847,0.03238842702384305,0.0727958620858401,5.597729405036881e-18,0.2749499539220863,0.1337855285630462,0.05139454463434509,255.79427176808284,193.4131855808945,0.16101240011515708,0.034457467811003735,0.2818033162583521,0.027720225142353637,0.011398470660692597,0.02772022529794025,0.011398470680084717,0.2969404390347093,0.29327564415102875,0.2932003830485069,1.226401066379469e-16,1.226401066379469e-16
min,0.05172413793103448,0.0,0.01,0.035,0.05172413793103448,0.07803468208092486,0.0,0.01,0.035,0.082,-0.035403140096618206,0.028846153846153848,-0.46102144916919047,0.6716417910447762,116.0,824.0,0.14879282749892836,0.7034895527568241,-0.3944692313671112,0.03263764828443527,0.06327886134386063,0.03263764828443527,0.06327886134386063,0.00527704485488123,0.0026385224274406704,0.00527704485488123,0.47249678185945176,0.39539070212962074
25%,0.22608695652173913,0.02,0.06,0.11,0.22564102564102564,0.2300163132137031,0.02,0.06,0.11,0.23,-0.035403140096618206,0.12698412698412698,-0.23415171706710333,0.9077669902912622,341.0,1280.0,0.3842446930963134,0.7813543397261158,-0.13964645564556122,0.038985736668109894,0.07007872313261032,0.038985736668109894,0.07007872313261032,0.26649076517150394,0.3007915567282322,0.28759894459102897,0.47249678185945176,0.39539070212962074
50%,0.33175355450236965,0.04,0.08,0.13,0.304,0.31789737171464333,0.04,0.08,0.13,0.306,-0.035403140096618206,0.3078556263269639,-0.1525265158054275,0.9469214437367304,498.0,1433.0,0.4956074629185942,0.8030396847734309,0.2682439982891083,0.04716883972287178,0.07559550553560257,0.04716883972287178,0.07559550553560257,0.5329815303430079,0.5646437994722955,0.5567282321899736,0.47249678185945176,0.39539070212962074
75%,0.5015337423312883,0.06,0.1,0.15,0.34,0.4853683148335015,0.06,0.1,0.15,0.34,-0.035403140096618206,0.5760869565217391,-0.043595717198518284,0.9718614718614719,713.0,1575.0,0.6500693610110704,0.8221390038947995,0.39432504773139954,0.06934661418199539,0.09071503579616547,0.06934661418199539,0.09071504324674606,0.7941952506596306,0.8179419525065963,0.8232189973614776,0.47249678185945176,0.39539070212962074
max,0.8518796992481203,0.18,0.16,0.24,0.526,0.8481561822125814,0.18,0.16,0.24,0.526,-0.035403140096618206,0.9212598425196851,0.26306517445546496,0.9974747474747475,1336.0,1806.0,0.9129116136677126,0.9332487598181066,0.7173796892166138,0.4169376492500305,0.1215800940990448,0.4169376492500305,0.1215800940990448,1.0,1.0,1.0,0.47249678185945176,0.39539070212962074
