statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
count,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.26186310442915434,0.014617414248021111,0.0374934036939314,0.08959925469190262,0.20992434179766092,0.3332112597965973,0.014617414248021111,0.0374934036939314,0.08967018469656995,0.2126121372031662,0.23610508900108582,0.5086410507546998,-0.041029289790635984,0.9583113167474805,526.8759894459102,1514.820580474934,0.4792569287031784,0.7919372008035926,0.15176000838975193,0.06948861454203135,0.10520858107267395,0.0694886146304947,0.10520858091540576,0.5176586072221719,0.554479570596139,0.5233881691160601,0.6015136209424596,0.3440025576661208
std,0.13478178173749994,0.01729142714050688,0.019781794681425678,0.02116383427027851,0.06245392920403348,0.1386742719773718,0.01729142714050688,0.019781794681425678,0.021168495926897273,0.059888829641183104,2.2390917620147525e-17,0.2890512526402793,0.1305747566957824,0.027737780040794382,226.00327274111098,110.8970851315193,0.17344299831414595,0.05106870975878491,0.23225867082892612,0.016406512870053642,0.0085093095396693,0.016406513052236064,0.008509309558756681,0.2868965730700068,0.2776519912961359,0.2872661270802474,8.95636704805901e-17,8.426426010129162e-17
min,0.043478260869565216,0.0,0.0,0.04,0.043478260869565216,0.09580838323353294,0.0,0.0,0.04,0.052,0.2361050890010858,0.03571428571428571,-0.3899232195022088,0.7676609105180534,157.0,733.0,0.1379010251376436,0.6566120099984961,-0.29169100522994995,0.052905354648828506,0.08649340271949768,0.052905354648828506,0.08649340271949768,0.00527704485488123,0.00527704485488123,0.0079155672823219,0.6015136209424594,0.3440025576661208
25%,0.1590909090909091,0.0,0.02,0.075,0.1590909090909091,0.22837150127226463,0.0,0.02,0.075,0.166,0.2361050890010858,0.23497267759562843,-0.13144277386122005,0.948948948948949,362.0,1463.0,0.345669267318481,0.7537995608691238,-0.06797213107347488,0.0602046474814415,0.09858732670545578,0.0602046474814415,0.09858732670545578,0.27968337730870707,0.3192612137203166,0.2849604221635884,0.6015136209424594,0.3440025576661208
50%,0.23929961089494164,0.0,0.04,0.09,0.23,0.30671736375158426,0.0,0.04,0.09,0.23,0.2361050890010858,0.5381165919282511,-0.0379414310161767,0.9626666666666667,488.0,1534.0,0.4596030994358816,0.7834315290940363,0.20085719227790833,0.06501232832670212,0.10358384996652603,0.06501232832670212,0.10358384996652603,0.5118733509234829,0.5778364116094987,0.525065963060686,0.6015136209424594,0.3440025576661208
75%,0.3192771084337349,0.02,0.05,0.105,0.256,0.4075382803297998,0.02,0.05,0.105,0.256,0.2361050890010858,0.7859872611464969,0.05215696251926821,0.9764065335753176,646.0,1574.0,0.5776750576890857,0.8273352019209326,0.3506763279438019,0.07330241799354553,0.11100581288337708,0.07330241799354553,0.11100581288337708,0.7678100263852243,0.7810026385224275,0.7757255936675462,0.6015136209424594,0.3440025576661208
max,0.7304415182029435,0.08,0.1,0.165,0.482,0.7610180012414649,0.08,0.1,0.165,0.482,0.2361050890010858,0.9372056514913658,0.40849382500552,0.994661921708185,1291.0,1826.0,0.9030949354810842,0.9330488982565245,0.668552815914154,0.19851428270339966,0.13916891813278198,0.19851428270339966,0.13916891813278198,1.0,1.0,1.0,0.6015136209424594,0.3440025576661208
