statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
count,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.47682653554834037,0.04532981530343009,0.08055408970976254,0.12737467018469656,0.3231518648069615,0.45691295994644054,0.04532981530343009,0.08055408970976254,0.12737467018469656,0.3234248021108179,0.25406203553923035,0.4568881374266751,-0.07693124399183286,0.9689365581111795,761.1583113456464,1607.7493403693932,0.5995793643614171,0.7880506954140902,0.269396248339899,0.08574759262296959,0.11383144989963571,0.08574759318323752,0.11383144999792834,0.5423033813465514,0.5790547267145174,0.5800293787985326,0.5517807024357683,0.3807158255339815
std,0.1308023948188751,0.030690198575280273,0.023535610818847887,0.028640390173593936,0.04443446508361667,0.13366861032293603,0.030690198575280273,0.023535610818847887,0.028640390173593936,0.044238608878479274,4.478183524029505e-17,0.24257831390850937,0.14009026459268925,0.01877533265938412,235.8241234463881,78.14555655200742,0.12752928875036484,0.03425733320558444,0.1917736666035474,0.09248015864291038,0.012298842980512767,0.09248016133928261,0.012298842392192338,0.2817175075690372,0.27677828823369216,0.2881080880216993,0.0,7.756441389236944e-17
min,0.23076923076923078,0.0,0.02,0.045,0.182,0.21496512365250475,0.0,0.02,0.045,0.182,0.25406203553923024,0.09,-0.37722103530386925,0.8719059405940595,351.0,1343.0,0.3212324448198685,0.6907662004154229,-0.20080479979515076,0.04888668283820152,0.09607051312923431,0.04888668283820152,0.09607051312923431,0.0026385224274406704,0.0026385224274406704,0.01055408970976257,0.551780702435768,0.38071582553398114
25%,0.3818493150684932,0.02,0.06,0.11,0.3,0.3572689817539729,0.02,0.06,0.11,0.3,0.25406203553923024,0.2315270935960591,-0.1851586960015445,0.9610849056603774,579.0,1574.0,0.49997851436898855,0.7652066280423448,0.12191756814718246,0.06039084121584892,0.10339006036520004,0.06039084121584892,0.10339006036520004,0.316622691292876,0.3641160949868074,0.3245382585751979,0.551780702435768,0.38071582553398114
50%,0.4534412955465587,0.04,0.08,0.13,0.31982942430703626,0.4301143583227446,0.04,0.08,0.13,0.32,0.25406203553923024,0.4495049504950495,-0.09687903878979837,0.9723618090452262,721.0,1618.0,0.5853080095313274,0.7829719788271181,0.311286062002182,0.07395828515291214,0.1110178679227829,0.07395828515291214,0.1110178679227829,0.5171503957783641,0.5963060686015831,0.6147757255936676,0.551780702435768,0.38071582553398114
75%,0.5661434977578476,0.06,0.1,0.145,0.338,0.5386029411764706,0.06,0.1,0.145,0.338,0.25406203553923024,0.6512455516014235,0.03530545797436217,0.9817850637522769,894.0,1657.0,0.6811618874504366,0.8091069236107404,0.42479991912841797,0.08670274168252945,0.12271237373352051,0.08670274168252945,0.12271237373352051,0.7994722955145119,0.8258575197889182,0.8364116094986808,0.551780702435768,0.38071582553398114
max,0.8706683168316832,0.2,0.16,0.245,0.586,0.8697530864197531,0.2,0.16,0.245,0.586,0.25406203553923024,0.9020618556701031,0.22927076725169807,0.9974391805377721,1616.0,1858.0,0.9088894870138233,0.9131981576900642,0.653180718421936,1.5612480640411377,0.20853066444396973,1.5612480640411377,0.20853064954280853,1.0,1.0,1.0,0.551780702435768,0.38071582553398114
