statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
count,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.3762894370495014,0.015039577836411612,0.04240105540897097,0.09242930625516378,0.2412531175359293,0.44208221803533054,0.015039577836411612,0.04240105540897097,0.0924274406332454,0.24239577836411616,0.019298776615081784,0.3905254470331439,-0.09940998764156442,0.9714387975044165,756.2137203166227,1659.1873350923483,0.5807717939107747,0.7826251101159434,0.19372543374581463,0.05597286442378266,0.08538795972247866,0.05597286442378266,0.08538795966350309,0.5378130199594824,0.5972389498819974,0.6167807241664984,0.6262142964728896,0.2875948207268197
std,0.18445400230287773,0.017417561405775262,0.019888248609306925,0.026074046862238933,0.046205882494929275,0.17523945785188003,0.017417561405775262,0.019888248609306925,0.02607563046752414,0.04409011434764991,4.84777586827309e-18,0.2708208090125558,0.14356530798228528,0.019796454593259745,305.1198207203853,87.51126456906768,0.18090959414964372,0.04767406832795184,0.16359866558757014,0.06251802767854198,0.00541492050461548,0.06251802767650153,0.00541492061211976,0.28643213618621727,0.2623959413647103,0.26274499109312965,1.5512882778473888e-16,7.756441389236944e-17
min,0.0707070707070707,0.0,0.0,0.03,0.0707070707070707,0.11904761904761904,0.0,0.0,0.03,0.086,0.019298776615081788,0.037487335359675786,-0.38311416115821484,0.8671288272674754,198.0,1364.0,0.19032718561024908,0.6270717710693755,-0.29024115204811096,0.03696238622069359,0.07024078071117401,0.03696238994598389,0.07024078071117401,0.00527704485488123,0.0026385224274406704,0.0026385224274406704,0.6262142964728896,0.2875948207268197
25%,0.22718052738336714,0.0,0.03,0.075,0.21212121212121213,0.2984054669703872,0.0,0.03,0.075,0.212,0.019298776615081788,0.14923469387755103,-0.2116201423315877,0.9628942486085343,500.0,1622.0,0.43107506453822453,0.7496277317588562,0.08341654390096664,0.04578505456447601,0.08203669637441635,0.04578505456447601,0.08203669637441635,0.29551451187335087,0.3905013192612137,0.4379947229551451,0.6262142964728896,0.2875948207268197
50%,0.3323903818953324,0.02,0.04,0.09,0.246,0.39967284623773175,0.02,0.04,0.09,0.246,0.019298776615081788,0.29411764705882354,-0.13289045955719267,0.9752066115702479,694.0,1666.0,0.5553834515372571,0.7754841166231505,0.1870535910129547,0.049384087324142456,0.08507538586854935,0.049384087324142456,0.08507538586854935,0.554089709762533,0.6200527704485488,0.6490765171503958,0.6262142964728896,0.2875948207268197
75%,0.49746707193515705,0.02,0.05,0.11,0.278,0.5730416372618208,0.02,0.05,0.11,0.278,0.019298776615081788,0.6335078534031413,0.007641313786437726,0.9846491228070176,991.0,1726.0,0.7247391345938748,0.8083462678143077,0.31714001297950745,0.05367947369813919,0.08817889541387558,0.05367947369813919,0.08817889541387558,0.7968337730870713,0.8258575197889182,0.8364116094986808,0.6262142964728896,0.2875948207268197
max,0.8872326636422554,0.1,0.12,0.17,0.32,0.8892326732673267,0.1,0.12,0.17,0.32,0.019298776615081788,0.927461139896373,0.224845654961192,1.0,1731.0,1887.0,0.954632268957536,0.9336551836836802,0.6648746728897095,1.1886683702468872,0.1250917613506317,1.1886683702468872,0.1250917613506317,1.0,1.0,1.0,0.6262142964728896,0.2875948207268197
