statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
count,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0,379.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.42515607648448506,0.015567282321899738,0.04870712401055409,0.0986939313984169,0.24597453497486693,0.48898275021076987,0.015567282321899738,0.04870712401055409,0.0986939313984169,0.245915567282322,0.16656636208043452,0.39656070956826206,-0.06707339305982885,0.9771257954424615,855.2374670184696,1704.358839050132,0.6120484452382999,0.7666013188346426,0.1489307156052578,0.04467813531059703,0.08906633159180115,0.044678135379401865,0.08906633151316706,0.5271962740443189,0.5561782499425652,0.5483810332704451,0.6054158337900144,0.31390248518727454
std,0.16176506894600606,0.018555866904107196,0.0195631179527918,0.02039157000075792,0.021847878819915376,0.1543400764377368,0.018555866904107196,0.0195631179527918,0.02039157000075792,0.02209822338097179,0.0,0.24124169303098789,0.12100841176237412,0.015459591578161359,279.11119623252324,60.51142700886031,0.15212591637748035,0.040084489578339606,0.20402267248979924,0.010733230120375704,0.005004883798548496,0.010733230211017892,0.0050048839098187255,0.28695537010051547,0.28224858269339803,0.29376577451280794,8.95636704805901e-17,7.756441389236944e-17
min,0.1642512077294686,0.0,0.0,0.04,0.1642512077294686,0.21040189125295508,0.0,0.0,0.04,0.156,0.16656636208043452,0.053791887125220456,-0.3168827320023713,0.8262164846077458,368.0,1227.0,0.2914559847233796,0.6366351986611073,-0.30233994126319885,0.031649425625801086,0.07679925858974457,0.031649425625801086,0.07679925858974457,0.0026385224274406704,0.01055408970976257,0.0079155672823219,0.6054158337900145,0.3139024851872744
25%,0.2991869918699187,0.0,0.04,0.085,0.232,0.36056338028169016,0.0,0.04,0.085,0.232,0.16656636208043452,0.18778625954198475,-0.1643056237705201,0.9726295210166178,627.0,1675.0,0.4843151621927801,0.7402346106772855,-0.008829478174448013,0.038856375962495804,0.08553063869476318,0.038856375962495804,0.08553063869476318,0.2770448548812665,0.316622691292876,0.29551451187335087,0.6054158337900145,0.3139024851872744
50%,0.37857142857142856,0.02,0.05,0.1,0.248,0.459491425192194,0.02,0.05,0.1,0.248,0.16656636208043452,0.35303514376996803,-0.09393233506724158,0.9793956043956044,800.0,1716.0,0.5896557365041813,0.7591138320244881,0.1721891164779663,0.04174766689538956,0.08856118470430374,0.04174766689538956,0.08856118470430374,0.5356200527704486,0.5989445910290238,0.5620052770448549,0.6054158337900145,0.3139024851872744
75%,0.5457227138643068,0.02,0.06,0.11,0.262,0.6086235489220564,0.02,0.06,0.11,0.262,0.16656636208043452,0.5855327468230694,0.023388275895202766,0.9859437751004017,1053.0,1735.0,0.730036119300891,0.7847782032945175,0.29435381293296814,0.04707508906722069,0.09281995892524719,0.04707508906722069,0.09281995892524719,0.7783641160949868,0.8047493403693932,0.8073878627968338,0.6054158337900145,0.3139024851872744
max,0.9140383426097711,0.1,0.12,0.17,0.296,0.9128113879003559,0.1,0.12,0.17,0.296,0.16656636208043452,0.8882743362831859,0.2140858961778341,0.9983870967741936,1727.0,1904.0,0.9603957623564972,0.893253147449343,0.7534659504890442,0.1288784146308899,0.1205449178814888,0.1288784146308899,0.1205449178814888,1.0,1.0,1.0,0.6054158337900145,0.3139024851872744
