cell_name,statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
test_myeloid_cells,mean,0.10500752102191116,0.025333333333333333,0.04733333333333333,0.07692669814812772,0.09891151588520215,0.16667549015888158,0.025333333333333333,0.04733333333333333,0.07433333333333332,0.09013333333333332,0.1714285714285714,0.467713183374204,0.1726031453929778,0.9386693450828182,323.0,1802.9333333333334,0.16196042343584566,0.5024214750793355,0.05194376148283482,2.7933260997136435,0.8537970383961996,2.7933261156082154,0.8537970344225566,0.56,0.5866666666666667,0.6088888888888889,0.2449327417238725,1.0
test_t_cells,mean,0.029566760235829756,0.02982951120141394,0.02943976979211658,0.029270605726926822,0.029473061612268293,0.023941413345505452,0.03163120567375887,0.030283687943262416,0.02900709219858156,0.02995744680851064,0.028798390240832552,0.6052904025141851,0.6922596557137455,0.8399578435799255,49.340425531914896,1718.6312056737588,0.022315947379087406,0.465374164603042,-0.07610385150216017,0.645504413344336,0.3380575922998131,0.645504411864788,0.3380575918770851,0.5327196821085458,0.5267843669835521,0.5464010864644635,0.32050432672138346,0.07439002446972286
val_t_cells_cd8,mean,0.04518125695209637,0.04333529472602393,0.043515723864143124,0.04248851297978938,0.04491059173944643,0.02546872396343199,0.04528571428571428,0.04128571428571429,0.04232142857142858,0.03291428571428571,0.051332325630877536,0.6952055897867715,NaN,0.9313797853136984,52.73571428571429,1929.5428571428572,0.023840525145998277,0.4491017839420242,-0.03766801375064201,0.29627183516110694,0.24219581016472408,0.29627183516110694,0.2421958103775978,0.5440306122448979,0.5651530612244897,0.5532142857142858,0.4548002172773602,0.06990316804835868
