statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
count,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.3928023656671825,0.04544014084507042,0.08512169605102428,0.17962401228948238,0.3498693183446078,0.35038050152909594,0.04544014084507042,0.08516725352112677,0.17973285996973576,0.3494459681643581,0.3862299440272308,0.42990155518463385,0.024253540543478436,0.9035535735383656,496.8882042253521,1267.525528169014,0.44468149845535176,0.7726735477823377,0.12279805375935762,0.12698715374949324,0.10339762279632646,0.1269871533363008,0.1033976226258026,0.6751295625867884,0.5800800622396349,0.5752059673179925,0.5617093214607397,0.3513047302296511
std,0.15536901982455892,0.03245572965275809,0.03251318295781957,0.03891285833729505,0.102657671012707,0.14712494317843325,0.03245572965275809,0.03240938872277797,0.0385536038858584,0.09881240307027649,2.4660751818151506e-17,0.14662345903768254,0.13774911188236807,0.05992970451466164,231.38612541062886,137.4651618170116,0.16786266439872938,0.04167019021544263,0.2579493310087638,0.04919333951266535,0.007393073613608366,0.04919333750874542,0.007393073613202221,0.27684011687462456,0.28946387176825356,0.29106524934268313,0.0,2.4660751818151506e-17
min,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.015,0.011363636363636364,0.3862299440272309,0.06578947368421052,-0.7483130517030462,0.1,20.0,121.0,0.01101417004048583,0.4244036546668125,-0.4761469066143036,0.06347745656967163,0.08106985688209534,0.06347745656967163,0.08106985688209534,0.0017605633802817433,0.0008802816901408717,0.004401408450704247,0.5617093214607397,0.3513047302296511
25%,0.28273809523809523,0.02,0.06,0.155,0.2819767441860465,0.24196277495769883,0.02,0.06,0.155,0.276,0.3862299440272309,0.28642384105960267,-0.0792211928548813,0.8850987432675045,334.0,1191.0,0.3161598988465539,0.7474565180682202,-0.06103876978158951,0.1075020357966423,0.09888280183076859,0.1075020357966423,0.09888280183076859,0.48151408450704225,0.3485915492957746,0.3494718309859155,0.5617093214607397,0.3513047302296511
50%,0.3792372881355932,0.04,0.08,0.18,0.3722627737226277,0.3188090050835149,0.04,0.08,0.18,0.366,0.3862299440272309,0.46153846153846156,0.03259537422172403,0.9145962732919255,444.0,1262.0,0.4172990415349522,0.7712254517398548,0.1077442392706871,0.12172634899616241,0.10236231982707977,0.12172634899616241,0.10236231982707977,0.743838028169014,0.608274647887324,0.5862676056338028,0.5617093214607397,0.3513047302296511
75%,0.4926829268292683,0.06,0.1,0.205,0.432,0.4319695528068506,0.06,0.1,0.205,0.43,0.3862299440272309,0.5631578947368421,0.12950843761620007,0.9354207436399217,597.0,1348.0,0.5508015931151184,0.799004191413447,0.31619083881378174,0.1357264220714569,0.10681736469268799,0.1357264220714569,0.10681736469268799,0.9181338028169014,0.8459507042253521,0.8433098591549295,0.5617093214607397,0.3513047302296511
max,0.8119800332778702,0.24,0.24,0.31,0.586,0.8077544426494345,0.24,0.24,0.31,0.586,0.3862299440272309,0.6906474820143885,0.4501236822578424,0.9755434782608695,1336.0,1824.0,0.9066360472352831,0.8814173908304723,0.836712658405304,1.1803193092346191,0.19146521389484406,1.1803191900253296,0.19146521389484406,1.0,1.0,1.0,0.5617093214607397,0.3513047302296511
