statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
count,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.26284092820290206,0.04352404385996034,0.08065832834208256,0.14805712435598153,0.24431399763684247,0.2760917783996412,0.043553210202286724,0.08047493403693931,0.14716010999652163,0.2504639079267354,0.26441332055629735,0.49298269851886506,0.04381741271806875,0.8825364597853086,351.50835532102025,1118.9445910290237,0.33048223409381255,0.7590342956887056,0.225268048986888,0.3958559300203332,0.15234707570458675,0.3958559289194558,0.15234707564561117,0.5304853380611695,0.5138226550915129,0.5138133726907127,0.5787311138987394,0.38266592118278675
std,0.15806905397347681,0.03305075454069283,0.03857127746231838,0.05679923049235643,0.12479666277264122,0.1435504552918278,0.032964516651748696,0.03848293402189009,0.05722285899508243,0.11724198386048908,0.0,0.2039662100879789,0.16410822718641954,0.07536560204320174,196.00656645597246,139.5150917843445,0.1618813328769619,0.04521230358721971,0.37239047865498276,0.09751526648802253,0.015170316927921184,0.09751526582380457,0.015170316764296251,0.2897965434079217,0.2903659473388568,0.29195072726430876,0.0,2.4759694855554308e-17
min,0.0,0.0,0.0,0.0,0.0,0.008174386920980926,0.0,0.0,0.0,0.008174386920980926,0.26441332055629735,0.047619047619047616,-0.6241685007248929,0.0975609756097561,12.0,117.0,0.010442696567026163,0.36022594807769825,-0.6826053857803345,0.07216794043779373,0.09361480176448822,0.07216794043779373,0.09361480921506882,0.0008795074758135568,0.0008795074758135568,0.0008795074758135568,0.5787311138987393,0.38266592118278686
25%,0.13942307692307693,0.02,0.05,0.11,0.13942307692307693,0.1680194805194805,0.02,0.05,0.11,0.156,0.26441332055629735,0.3008849557522124,-0.08127927587428148,0.8578947368421053,211.0,1042.0,0.20979965248226026,0.7365272019097876,-0.07887838780879974,0.33838778734207153,0.14156930148601532,0.33838778734207153,0.14156930148601532,0.28232189973614774,0.2612137203166227,0.2532981530343008,0.5787311138987393,0.38266592118278686
50%,0.23355263157894737,0.04,0.07,0.145,0.23355263157894737,0.2537190082644628,0.04,0.07,0.14,0.238,0.26441332055629735,0.5523809523809524,0.0710340363294029,0.8997821350762527,315.0,1120.0,0.30933329495418765,0.7602604510476616,0.30240529775619507,0.3825848400592804,0.1504727452993393,0.3825848400592804,0.1504727452993393,0.5408970976253298,0.5233069481090589,0.5189094107299912,0.5787311138987393,0.38266592118278686
75%,0.3543123543123543,0.06,0.1,0.18085106382978725,0.34851936218678814,0.357258064516129,0.06,0.1,0.18,0.342,0.26441332055629735,0.6712328767123288,0.17022347255843878,0.924892703862661,443.0,1205.0,0.42245654528143417,0.7876279728795212,0.5181939005851746,0.44952377676963806,0.1630481332540512,0.44952377676963806,0.1630481332540512,0.7854001759014951,0.7660510114335972,0.7713280562884784,0.5787311138987393,0.38266592118278686
max,0.7630878438331854,0.28,0.28,0.405,0.54,0.7569060773480663,0.28,0.28,0.405,0.54,0.26441332055629735,0.7931547619047619,0.3813039650684982,0.9883268482490273,1159.0,1758.0,0.8574605623258025,0.8682160470649896,0.9336782693862915,1.3573509454727173,0.27880144119262695,1.3573509454727173,0.27880144119262695,1.0,1.0,1.0,0.5787311138987393,0.38266592118278686
