statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
count,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.41925035810983824,0.053510357603997076,0.09198271784416735,0.18407230153668558,0.3631884812873604,0.3988724961761057,0.05352682497801231,0.09200527704485488,0.1840699208443272,0.3625182488425019,0.4353660428002827,0.4742408510536474,0.053090116693555914,0.8961224600247781,559.3430079155672,1245.3693931398416,0.49159103332169596,0.777581998567307,0.2989980711387888,0.2011115287046424,0.1340228464247998,0.20111152935992654,0.13402284658862082,0.6318576636661306,0.5762491210726742,0.5727163940348199,0.632860512539241,0.42577940470090164
std,0.1442304545237182,0.03476802179613654,0.03574574741514182,0.04550405005404837,0.0886639256258517,0.1416911022584699,0.034747041517570125,0.03570009035004707,0.04547429713675361,0.08625003545325897,5.553557858171677e-17,0.17688658175777686,0.1482650277241794,0.07083202839145145,222.89224846346588,171.89199046592935,0.16163348085955465,0.043504222055652554,0.21970037837885326,0.04053402881554276,0.009470179703167044,0.04053402841171713,0.009470179643378472,0.28235655318101616,0.29262713150788633,0.296570128077892,0.0,0.0
min,0.0,0.0,0.0,0.0,0.0,0.0061162079510703364,0.0,0.0,0.005,0.0061162079510703364,0.43536604280028274,0.0625,-0.40276454437482506,0.07407407407407407,10.0,160.0,0.008973603778827452,0.42049144938146454,-0.3548710346221924,0.07451912760734558,0.09386566281318665,0.07451912760734558,0.09386566281318665,0.006156552330694787,0.0017590149516271136,0.0017590149516271136,0.6328605125392411,0.4257794047009016
25%,0.32779097387173395,0.02,0.07,0.155,0.32590529247910865,0.29551820728291317,0.02,0.07,0.155,0.32,0.43536604280028274,0.3053097345132743,-0.07262699159589864,0.8744343891402715,403.0,1131.0,0.37742495572003487,0.7518860597805239,0.1476084440946579,0.1739339381456375,0.12722188234329224,0.1739339381456375,0.12722188234329224,0.4142480211081794,0.3342128408091469,0.32189973614775724,0.6328605125392411,0.4257794047009016
50%,0.4186046511627907,0.06,0.09,0.18,0.3858093126385809,0.3921293042867182,0.06,0.09,0.18,0.384,0.43536604280028274,0.49557522123893805,0.07500907500489422,0.9117647058823529,541.0,1262.0,0.492424823814729,0.7758484143075268,0.3528028130531311,0.19401943683624268,0.1329137235879898,0.19401943683624268,0.1329137235879898,0.6886543535620053,0.6112576956904134,0.6103781882145998,0.6328605125392411,0.4257794047009016
75%,0.5,0.08,0.11,0.21,0.42,0.4807547169811321,0.08,0.11,0.21,0.42,0.43536604280028274,0.6311188811188811,0.17360964715288354,0.9369024856596558,673.0,1364.0,0.5985823997672876,0.8051475777030698,0.46017345786094666,0.2232321798801422,0.14076387882232666,0.2232321947813034,0.14076387882232666,0.882145998240985,0.841688654353562,0.8460861917326297,0.6328605125392411,0.4257794047009016
max,0.833596214511041,0.2,0.23,0.345,0.566,0.8315958299919808,0.2,0.23,0.345,0.566,0.43536604280028274,0.7709090909090909,0.3831422073880859,0.9877800407331976,1465.0,1825.0,0.8957991705946221,0.8894007478419012,0.8454122543334961,0.6217382550239563,0.17778845131397247,0.6217382550239563,0.17778845131397247,1.0,1.0,1.0,0.6328605125392411,0.4257794047009016
