statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
count,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.4037359039246034,0.04218117854001759,0.0715169267921828,0.15048624047999803,0.3240564095118419,0.4244085773313763,0.04218117854001759,0.07154793315743184,0.1504925241864556,0.32581002638522427,0.39406307922628786,0.47257822787138964,0.13921148348589993,0.9294464635190285,650.1776605101144,1412.5171503957783,0.5011130306591013,0.7512529156685814,0.4177071947128108,0.7515017467705745,0.2225657209308397,0.7515017470326881,0.2225657210094738,0.519868592146006,0.5095512036566471,0.5124264273044914,0.4807276460102384,0.387747753438701
std,0.16077111830989693,0.030744727551262674,0.0314035120218589,0.043576494186232925,0.08755910387450347,0.1341663581574291,0.030744727551262674,0.031313325101480695,0.0434906719241624,0.08449055579827497,5.553557858171677e-17,0.16157371362820566,0.18097028830902065,0.049254789922277505,232.5990136596402,135.5716116947291,0.14522130170182052,0.03332766280925346,0.5002322182371178,0.25328485173986787,0.02982341288470859,0.2532848504254955,0.029823412976684952,0.29064185735476045,0.28959656611987783,0.2942352401897574,2.4759694855554308e-17,0.0
min,0.0,0.0,0.0,0.0,0.0,0.017214397496087636,0.0,0.01,0.015,0.02,0.39406307922628797,0.10204081632653061,-0.70516529234917,0.24444444444444444,42.0,543.0,0.021429581397688954,0.44182993545957594,-0.8308616280555725,0.0762212947010994,0.09966617822647095,0.0762212872505188,0.09966617822647095,0.0008795074758135568,0.0035180299032542273,0.0008795074758135568,0.48072764601023843,0.3877477534387009
25%,0.28385899814471244,0.02,0.05,0.12,0.27,0.3280780780780781,0.02,0.05,0.12,0.272,0.39406307922628797,0.33053221288515405,0.005040609674290913,0.9154411764705882,491.0,1333.0,0.39986732205109826,0.7325997881266946,0.13732627034187317,0.5624331831932068,0.20240066945552826,0.5624331831932068,0.20240066945552826,0.2726473175021987,0.26209322779243627,0.2568161829375549,0.48072764601023843,0.3877477534387009
50%,0.3858267716535433,0.04,0.07,0.145,0.328,0.40994189799870884,0.04,0.07,0.145,0.328,0.39406307922628797,0.4954128440366973,0.16913310397385764,0.9398148148148148,609.0,1421.0,0.48956035481617544,0.7485516721799824,0.6176424026489258,0.7410618662834167,0.2231210470199585,0.7410618662834167,0.2231210619211197,0.5277044854881267,0.5127528583992964,0.51363236587511,0.48072764601023843,0.3877477534387009
75%,0.5058823529411764,0.06,0.09,0.175,0.386,0.49345549738219896,0.06,0.09,0.175,0.386,0.39406307922628797,0.6111111111111112,0.287384208546279,0.9539473684210527,769.0,1511.0,0.5904800909820227,0.7699947097580916,0.8277114033699036,0.9064997434616089,0.24313023686408997,0.9064997434616089,0.24313023686408997,0.7766051011433597,0.7598944591029024,0.7651715039577837,0.48072764601023843,0.3877477534387009
max,0.8822714681440443,0.2,0.25,0.315,0.538,0.8813443072702332,0.2,0.25,0.315,0.538,0.39406307922628797,0.7611336032388664,0.47322550339905844,0.9888682745825603,1624.0,1819.0,0.925001690678167,0.8618184399848543,0.9653323292732239,1.5784696340560913,0.29908186197280884,1.5784697532653809,0.29908186197280884,1.0,1.0,1.0,0.48072764601023843,0.3877477534387009
