statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
count,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.4108201678086789,0.05071240105540898,0.07934479411264352,0.15343676991022742,0.3335957687614759,0.3926452425850032,0.05071240105540898,0.07934916446789797,0.15345646437994723,0.33568865435356204,0.3475242280764713,0.41875853743213826,0.07343498831325941,0.9285104627957589,611.5672823218997,1432.1978891820581,0.4681730064104458,0.744524068132966,0.25465392935056336,0.1699700776402402,0.11139162362486832,0.16997007759764673,0.11139162344466517,0.5644303042538923,0.5212416139310271,0.5241624760494722,0.3999623402468069,0.36424635489823604
std,0.18140160521163098,0.03220099392582229,0.0321707127008418,0.0491080767519485,0.10254239625296009,0.15711250210216743,0.03220099392582229,0.03214621061860603,0.04902002765996937,0.09899010204308828,0.0,0.1557323079852526,0.16193930259827796,0.050868881626515934,268.17627608603226,129.03816198730382,0.17027609557188889,0.03721560582926892,0.4361989387735377,0.044751334385266496,0.010117663228936627,0.04475133430688301,0.010117663275202148,0.2871165869377886,0.29163537695816,0.2959421081889403,0.0,2.4759694855554308e-17
min,0.0,0.0,0.0,0.0,0.0,0.00411522633744856,0.0,0.0,0.0,0.0,0.3475242280764714,0.0,-0.7471092750779922,0.2,15.0,657.0,0.006639343265195731,0.36953820319059616,-0.7592694759368896,0.027645206078886986,0.06148817390203476,0.027645206078886986,0.06148817762732506,0.0008795074758135568,0.0035180299032542273,0.0008795074758135568,0.3999623402468069,0.36424635489823604
25%,0.26107226107226106,0.02,0.06,0.12,0.26,0.2730398899587345,0.02,0.06,0.12,0.264,0.3475242280764714,0.2759067357512953,-0.04424680058321821,0.9135913591359136,413.0,1359.0,0.3416614890582733,0.7233313790483178,-0.10105262696743011,0.14013776183128357,0.10532256215810776,0.14013774693012238,0.10532256215810776,0.32541776605101147,0.27000879507475817,0.26649076517150394,0.3999623402468069,0.36424635489823604
50%,0.38666666666666666,0.04,0.08,0.15,0.34,0.3563390847711928,0.04,0.08,0.15,0.338,0.3475242280764714,0.4176394293125811,0.0669055876515278,0.9389788293897883,534.0,1436.0,0.43376670006856777,0.7399545871459583,0.37423574924468994,0.16643358767032623,0.11138627678155899,0.16643358767032623,0.11138627678155899,0.5883905013192612,0.5294635004397538,0.5312225153913808,0.3999623402468069,0.36424635489823604
75%,0.5532212885154062,0.06,0.1,0.185,0.414,0.4859934853420195,0.06,0.1,0.185,0.414,0.3475242280764714,0.5612052730696798,0.20376997980025338,0.9545454545454546,766.0,1529.0,0.5806658996863485,0.7620014982099046,0.63457190990448,0.19784700870513916,0.11853131651878357,0.19784700870513916,0.11853131651878357,0.8240985048372911,0.7792436235708003,0.7854001759014951,0.3999623402468069,0.36424635489823604
max,0.8742434431741762,0.22,0.22,0.33,0.562,0.869656622284513,0.22,0.22,0.33,0.562,0.3475242280764714,0.749185667752443,0.4437721467233425,0.9966996699669967,1646.0,1849.0,0.9461831045000009,0.885420230693299,0.9296086430549622,0.3556065261363983,0.15206414461135864,0.3556065261363983,0.15206414461135864,1.0,1.0,1.0,0.3999623402468069,0.36424635489823604
