statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
count,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.42962756756592907,0.058928077827437045,0.10746946131934823,0.20569920647157014,0.3720190909729912,0.39268171957482295,0.05892700087950749,0.10749340369393137,0.2057219882331733,0.3709187141381983,0.4214571650593847,0.4655737452918457,NaN,0.8934482769695156,549.1917326297273,1232.004397537379,0.4819569495515153,0.7752943541939734,0.32293459013609827,0.2831257021442881,0.12513287585612023,0.28312570116463837,0.12513287582335603,0.581749717080159,0.5498051082598671,0.5511510563758877,0.42796483189443263,0.39807318045438345
std,0.13730264035732467,0.03795724831597395,0.03844411639603791,0.047569938836437294,0.08069662849420138,0.1391391558773692,0.0379572004742967,0.038393764629642134,0.047444722693238815,0.07898503454981216,0.0,0.17194970984434663,NaN,0.07180091881953694,226.32441232595525,154.3134812931575,0.1509072489128578,0.03946291517839205,0.3332866291436664,0.1638734682094534,0.013754336603191282,0.16387344727435363,0.013754336292604117,0.29054856886483277,0.28347739705516944,0.28808958819565356,4.9519389711108617e-17,0.0
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42145716505938474,0.0,-0.5058531327900322,0.0,12.0,148.0,0.006,0.4126218685433884,-0.49513137340545654,0.05864953249692917,0.07512959092855453,0.05864953249692917,0.07512959092855453,0.0008795074758135568,0.0017590149516271136,0.0017590149516271136,0.42796483189443246,0.3980731804543835
25%,0.3442622950819672,0.04,0.08,0.18,0.338,0.2959349593495935,0.04,0.08,0.18,0.334,0.42145716505938474,0.3180379746835443,-0.12568676648625485,0.8693877551020408,399.0,1137.0,0.3843714225442762,0.7539261381040293,0.05951333045959473,0.23284867405891418,0.11624941229820251,0.23284867405891418,0.11624941229820251,0.3324538258575198,0.31574318381706246,0.30430958663148633,0.42796483189443246,0.3980731804543835
50%,0.4251968503937008,0.06,0.1,0.205,0.3890063424947146,0.37416107382550334,0.06,0.1,0.205,0.388,0.42145716505938474,0.4742268041237113,0.04751874088110102,0.9108391608391608,506.0,1244.0,0.4710128460576569,0.7770023949281242,0.36040806770324707,0.2706226706504822,0.1241811141371727,0.2706226706504822,0.1241811141371727,0.6077396657871592,0.563764291996482,0.5611257695690413,0.42796483189443246,0.3980731804543835
75%,0.5105105105105106,0.08,0.13,0.23,0.424,0.4692015209125475,0.08,0.13,0.23,0.424,0.42145716505938474,0.6097560975609756,0.21166509770381764,0.9344978165938864,660.0,1337.0,0.5769953563738921,0.8000467995169082,0.604722797870636,0.3137550950050354,0.13405422866344452,0.3137550950050354,0.13405422866344452,0.8372911169744943,0.7968337730870713,0.8056288478452067,0.42796483189443246,0.3980731804543835
max,0.8320063694267515,0.34,0.29,0.43,0.574,0.8276661514683153,0.34,0.29,0.43,0.574,0.42145716505938474,0.7978260869565217,0.4332072126358806,0.9876543209876543,1573.0,1793.0,0.9158379252682642,0.8627409114024606,0.9262832999229431,3.7893643379211426,0.3027496039867401,3.7893636226654053,0.3027495741844177,1.0,1.0,1.0,0.42796483189443246,0.3980731804543835
