statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
count,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.4057249932632611,0.04470735098022526,0.08269327886061226,0.1746617175400068,0.36496153067628684,0.3818991861009553,0.04469656992084432,0.08269129287598945,0.1746613896218118,0.3688083456979105,0.3557959062101497,0.5032166923829501,NaN,0.9152586058445495,543.6939313984169,1300.4230430958662,0.48098963831238556,0.7750995196174933,0.31294994477467575,0.15539802171997627,0.11450916892712118,0.15539802163642755,0.11450916872070668,0.5863460525430298,0.5650522251075017,0.5599260192656229,0.5360365673548666,0.4262507048351592
std,0.11225667475366195,0.031101619284395136,0.031835456381278174,0.03989666442239546,0.07397764967140139,0.10138640912868982,0.03110806240065092,0.03183314559188557,0.03992394436463702,0.06853140927986356,0.0,0.13620795294488602,NaN,0.058292127081763914,162.0411166743467,147.9570726556524,0.11433073842823112,0.03662660037091945,0.26240989603932935,0.036094913586195335,0.010245368425376695,0.036094913627337875,0.010245368488411602,0.28560109938127076,0.28315380923668715,0.2865899992272685,0.0,0.0
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3557959062101497,0.0,-0.7745966692414834,0.0,4.0,393.0,0.002572961373390558,0.2968197879858657,-0.5025928616523743,0.016225460916757584,0.05197819322347641,0.016225460916757584,0.05197819322347641,0.0017590149516271136,0.0008795074758135568,0.0008795074758135568,0.5360365673548664,0.42625070483515914
25%,0.32712215320910976,0.02,0.06,0.15,0.32558139534883723,0.3086510263929619,0.02,0.06,0.15,0.328,0.3557959062101497,0.3906810035842294,0.003800533345600812,0.9006928406466512,432.0,1212.0,0.4038407002278484,0.7583660257273708,0.14216037094593048,0.13435617089271545,0.10816360265016556,0.13435617089271545,0.10816361010074615,0.3544415127528584,0.35004397537379073,0.3306948109058927,0.5360365673548664,0.42625070483515914
50%,0.4049079754601227,0.04,0.08,0.17,0.3755868544600939,0.3690388848129127,0.04,0.08,0.17,0.376,0.3557959062101497,0.530751708428246,0.12373163055361387,0.9251207729468599,521.0,1306.0,0.47363013894589995,0.7737315805159111,0.3105820119380951,0.1579040139913559,0.11455409228801727,0.1579040139913559,0.11455409228801727,0.6200527704485488,0.5910290237467019,0.5804749340369393,0.5360365673548664,0.42625070483515914
75%,0.48,0.06,0.1,0.2,0.416,0.4448913917940467,0.06,0.1,0.2,0.416,0.3557959062101497,0.6109725685785536,0.20404393829555756,0.9443757725587144,629.0,1392.0,0.5524918199054469,0.792364439889202,0.5134394764900208,0.17451447248458862,0.12141070514917374,0.17451447248458862,0.12141070514917374,0.8478452066842568,0.8188214599824098,0.8153034300791557,0.5360365673548664,0.42625070483515914
max,0.7587806494367131,0.18,0.28,0.365,0.616,0.7413793103448276,0.18,0.28,0.365,0.616,0.3557959062101497,0.7824858757062146,0.38858646311430123,0.9838337182448037,1509.0,1798.0,0.852414533043444,0.8827348954072689,0.9670750498771667,0.6568575501441956,0.15860386192798615,0.6568575501441956,0.15860386192798615,1.0,1.0,1.0,0.5360365673548664,0.42625070483515914
