cell_name,statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
test_myeloid_cells,mean,0.12044222123900691,0.030666666666666672,0.032,0.07614029787029204,0.1144952491131813,0.15265923826018224,0.030666666666666672,0.032,0.07766666666666665,0.10893333333333333,0.4857142857142857,0.5467468197727006,0.5023873894545655,0.8953827781576678,323.0,1919.6666666666667,0.1313769462305546,0.34827347850312074,0.32168457806110384,0.13480319951971373,0.1527689923842748,0.1348032000164191,0.1527689923842748,0.6222222222222222,0.6311111111111111,0.7377777777777779,0.9727090791181965,0.2938468516621354
test_t_cells,mean,0.02640769213797268,0.02543971025618,0.02600527885759486,0.025967540305203554,0.026067410610089898,0.023089303326756017,0.02624113475177305,0.02673758865248227,0.027588652482269504,0.026482269503546103,0.000053546893476656774,0.7657300677548978,0.878366143888489,0.9261532036606345,49.340425531914896,1937.2695035460993,0.020529004262132094,0.4349478240360161,0.30254496361297417,0.10796435248661548,0.14578087051920857,0.107964352248831,0.14578087009648058,0.636436798953775,0.6678738494039536,0.6144057139982898,0.6003168718559532,0.13277598624563006
val_t_cells_cd8,mean,0.03919848043061099,0.03611406970191334,0.035715090919427504,0.03543447867452954,0.03892781521796105,0.02530809102234042,0.044000000000000004,0.041428571428571426,0.040678571428571425,0.030742857142857145,0.06546748691890575,0.7185415227422572,NaN,0.9435439141867357,52.73571428571429,1962.4214285714286,0.02340978852726678,0.4420175692746634,0.2802194562274963,0.061796284999166215,0.11013629926102501,0.061796285145516903,0.11013629936746189,0.6538265306122448,0.6940306122448979,0.7569387755102042,0.7718330853492843,0.12983807217875096
