cell_name,statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
test_myeloid_cells,mean,0.1149321393439701,0.029333333333333336,0.036000000000000004,0.07599828327764684,0.10939201355465343,0.1529034324914704,0.029333333333333336,0.036000000000000004,0.07566666666666667,0.10159999999999998,0.6116653428423843,0.542042816122428,0.4869241820498018,0.8896158216260783,323.0,1912.7333333333333,0.13081894930893173,0.3411519302612763,0.32428401755169034,0.13480306826531888,0.1520828311642011,0.13480306826531888,0.1520828311642011,0.6400000000000001,0.64,0.7644444444444445,0.9672543088479045,0.3348197987878833
test_t_cells,mean,0.024874451086476995,0.02416067186571458,0.024591232109593943,0.024724864380252842,0.02455817023061303,0.0232319866784007,0.025815602836879437,0.026737588652482273,0.027730496453900706,0.02670921985815603,-0.1255078637900083,0.7674715301217185,0.887401210593039,0.9290348864912247,49.340425531914896,1936.2340425531916,0.02065653218500674,0.43710833129273025,0.306875708572408,0.10433981539879708,0.14430121855532868,0.10433981518743309,0.14430121892521566,0.6490116191338463,0.6913133142196067,0.6338715356370404,0.80030394393739,0.14953775898025004
val_t_cells_cd8,mean,0.04630299736991217,0.0443811136366954,0.04352345762629267,0.04325304946302737,0.046128951568385444,0.02530547861840448,0.04371428571428571,0.040928571428571425,0.04082142857142857,0.031242857142857145,0.03794184479711261,0.7288288748559646,NaN,0.9439489864761044,52.73571428571429,1962.1857142857143,0.02342350925469409,0.4404392885146035,0.27324216626418224,0.0624851887114346,0.11057385413774422,0.0624851887114346,0.11057385445705482,0.6511734693877551,0.6922448979591838,0.7318877551020408,0.7654680188937122,0.1639875160307148
