cell_name,statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
test_myeloid_cells,mean,0.2647208933178127,0.058666666666666666,0.08,0.14281080555503933,0.2420208756917098,0.3039492893852188,0.058666666666666666,0.08,0.14533333333333334,0.2803621562156216,0.20554074337915995,0.45925916510307185,-0.10138437421655376,0.8437264724053952,323.0,892.8666666666667,0.3491182448049978,0.7864838196500781,0.12321131955832243,2.7448596000671386,0.7433812657992045,2.7448595841725667,0.7433812618255615,0.5511111111111112,0.5466666666666666,0.551111111111111,0.8375433426287026,1.0
test_t_cells,mean,0.04714374458206834,0.034680874538617464,0.03781003037834981,0.04005540634043928,0.046839992076998196,0.046870814349857584,0.029078014184397167,0.0297872340425532,0.036387158277501976,0.046513748314336356,0.03391763161052853,0.2617471259826239,0.6178006536469758,0.27356092883459576,49.340425531914896,403.50354609929076,0.03960530728299645,0.5191571121611493,0.3152550373006371,0.25524754904157726,0.19468317143883265,0.25524754872453126,0.19468317112178668,0.6228056938785775,0.6266787384940395,0.5829686635481113,0.7416887849535295,0.26853250293107483
val_t_cells_cd8,mean,0.041890227391231126,0.025577474819848494,0.028864447606816335,0.034060025838108854,0.0413080027456477,0.04553496781665007,0.025571428571428575,0.030000000000000002,0.03459162303664921,0.04572940061436279,0.11415783029622074,0.24011788997860342,NaN,0.2932834461221436,52.73571428571429,470.87857142857143,0.0432891900113603,0.42617437524211105,0.2263704202154518,0.10329198480716774,0.13533170739454883,0.10329198462090322,0.13533170755420412,0.7669387755102041,0.7457142857142858,0.766377551020408,0.7385097218510742,0.2587191330043522
