statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
count,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.17972394726885257,0.02383465259454706,0.04780123131046613,0.07962606286896227,0.14914647736900252,0.27008489463856167,0.023852242744063328,0.04784520668425681,0.07963940193491643,0.14749164467897977,0.24723289504794005,0.4811624604718596,0.24385892485100596,0.986624134642755,543.6939313984169,1987.9938434476694,0.26652073190171643,0.48525908915900234,0.23484833527853174,0.07750137132594957,0.09896774287274142,0.07750137135216092,0.09896774280066016,0.6292291971728902,0.6008265977912528,0.5921382706423189,0.08493603165068633,0.310965404289663
std,0.07600650519114739,0.023468605690799456,0.021768287565928614,0.020096721442584734,0.03459812379627724,0.0814059600882867,0.02345821834090893,0.021705875518428286,0.0200187446225212,0.03609892231703185,0.0,0.08246790014654874,0.1764804500887987,0.008022965696129125,162.0411166743467,23.2369711507477,0.08177320094023989,0.013732932341135753,0.17390248465767394,0.04681012863983353,0.02588143082999872,0.04681012895985112,0.02588143085397291,0.2779961237854837,0.279614615659773,0.2770263289345803,6.189923713888577e-18,2.4759694855554308e-17
min,0.0,0.0,0.0,0.0,0.0,0.0020757654385054488,0.0,0.0,0.0,0.004,0.24723289504794008,0.24604966139954854,-0.40714285714285714,0.8709677419354839,4.0,1778.0,0.0023054755043227667,0.34079850587329413,-0.3701588213443756,0.04467398300766945,0.08015517890453339,0.04467397928237915,0.08015517890453339,0.0017590149516271136,0.0008795074758135568,0.0008795074758135568,0.08493603165068635,0.3109654042896629
25%,0.13043478260869565,0.0,0.03,0.065,0.12875536480686695,0.2136409227683049,0.0,0.03,0.065,0.126,0.24723289504794008,0.4222737819025522,0.12209693016307892,0.9828178694158075,432.0,1989.0,0.20992550494534265,0.47975792323618416,0.12422949820756912,0.06103945150971413,0.0899638682603836,0.06103945150971413,0.0899638682603836,0.4063324538258575,0.38962181178540023,0.37730870712401055,0.08493603165068635,0.3109654042896629
50%,0.15948275862068967,0.02,0.05,0.08,0.1468682505399568,0.2586639879457559,0.02,0.05,0.08,0.146,0.24723289504794008,0.48381294964028776,0.23930076210442813,0.9877800407331976,521.0,1992.0,0.2542807551625007,0.4847231718917827,0.240524560213089,0.06827607750892639,0.09385619312524796,0.06827607750892639,0.09385619312524796,0.6877748460861917,0.642919964819701,0.6297273526824978,0.08493603165068635,0.3109654042896629
75%,0.2061328790459966,0.04,0.06,0.09,0.168,0.31347020530796194,0.04,0.06,0.09,0.168,0.24723289504794008,0.5435745937961596,0.3734039252057555,0.9917840375586855,629.0,1994.0,0.30934331095741185,0.48936063626257764,0.35316887497901917,0.07755100727081299,0.09949608892202377,0.07755100727081299,0.09949608892202377,0.8742304309586632,0.8408091468777484,0.8258575197889182,0.08493603165068635,0.3109654042896629
max,0.7243207422133864,0.16,0.13,0.16,0.31,0.7535140562248996,0.16,0.13,0.16,0.31,0.24723289504794008,1.0,0.7482517482517482,1.0,1509.0,1999.0,0.7525313414557971,0.6153652392947103,0.8047388195991516,0.5100768804550171,0.2913537621498108,0.5100768804550171,0.2913537621498108,1.0,1.0,1.0,0.08493603165068635,0.3109654042896629
