statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
count,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.1059450749465534,0.02404573438874231,0.03915945493286409,0.06258993428781065,0.09246198073669512,0.17302496681547394,0.024098504837291115,0.03935795954265611,0.06275725593667547,0.08810729991204926,0.17401280279184075,0.5264619706593691,0.28120984683640954,0.9711881230786104,351.50835532102025,1980.1345646437994,0.1670167753567509,0.46332794743584654,0.17793507939656875,0.19563046635416065,0.13558616066513715,0.19563046642296547,0.13558616071755988,0.5333489587080136,0.5256786015134955,0.5170397805021624,0.147582593245131,0.29630847571841046
std,0.08126429095074399,0.025463824481579442,0.022120376198684465,0.02303291430238344,0.0490383646207098,0.0979768268426217,0.025448459502932192,0.02189184583681166,0.022083010059965973,0.051351033265544146,2.7767789290858385e-17,0.14449989777954111,0.21360019193779917,0.017316147808091546,196.00656645597246,40.31956864666873,0.0975300825057825,0.023818111588539647,0.2927655879470474,0.08557909752106435,0.029095730820262778,0.08557909791825707,0.029095731167591853,0.29302912360255373,0.2888809707862694,0.29211607943834245,1.2379847427777154e-17,6.565276435220655e-17
min,0.0,0.0,0.0,0.0,0.0,0.008058017727639,0.0,0.0,0.005,0.006,0.17401280279184075,0.1651376146788991,-0.598950130429286,0.8333333333333334,12.0,1241.0,0.005850427480740974,0.29797979797979796,-0.6923685669898987,0.058403898030519485,0.095688097178936,0.05840389430522919,0.0956881046295166,0.0008795074758135568,0.0008795074758135568,0.0008795074758135568,0.147582593245131,0.2963084757184104
25%,0.06005221932114883,0.0,0.02,0.05,0.06005221932114883,0.10409297625063163,0.0,0.02,0.05,0.048,0.17401280279184075,0.4095238095238095,0.12789910061690207,0.9639423076923077,211.0,1983.0,0.0985524943811158,0.4505061613359914,-0.04101944714784622,0.1536158323287964,0.12290400266647339,0.1536158323287964,0.12290400266647339,0.2788038698328936,0.27968337730870707,0.2612137203166227,0.147582593245131,0.2963084757184104
50%,0.08461538461538462,0.02,0.04,0.06153846153846154,0.08461538461538462,0.15519839276745354,0.02,0.04,0.06,0.078,0.17401280279184075,0.5528455284552846,0.2824994423230852,0.9742857142857143,315.0,1987.0,0.14789931201796433,0.46441355111684673,0.22678695619106293,0.1760958582162857,0.1303420215845108,0.1760958582162857,0.1303420215845108,0.5523306948109059,0.5338610378188214,0.5303430079155673,0.147582593245131,0.2963084757184104
75%,0.12171052631578948,0.04,0.05,0.07738095238095238,0.11956521739130435,0.21769733534439417,0.04,0.05,0.075,0.118,0.17401280279184075,0.6428571428571429,0.4422994505139673,0.9833055091819699,443.0,1989.0,0.21045828374156844,0.4772417028832367,0.40018123388290405,0.20628538727760315,0.13949114084243774,0.20628538727760315,0.13949114084243774,0.793315743183817,0.7783641160949868,0.7757255936675462,0.147582593245131,0.2963084757184104
max,0.5682210708117443,0.14,0.12,0.155,0.3,0.5783132530120482,0.14,0.12,0.155,0.3,0.17401280279184075,0.8571428571428571,0.7755396939824502,1.0,1159.0,1996.0,0.5761541203088509,0.5902214918014417,0.8602320551872253,0.992983877658844,0.33777549862861633,0.992983877658844,0.3377755284309387,1.0,1.0,1.0,0.147582593245131,0.2963084757184104
