statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
count,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.295752960739942,0.024003744999574434,0.07085501547399363,0.1858274222064486,0.28364329171762803,0.17558677116468538,0.023992963940193495,0.07215479331574319,0.18868953386103784,0.2455303430079155,0.05639648146625078,0.16906020946159295,0.03567587753903389,0.9984923810064795,351.50835532102025,1999.137203166227,0.17515071135950824,0.4975655921726778,-0.08835283190746818,25.522807452588513,1.8374362207863975,25.522807256317808,1.8374362192137155,0.5034650428653534,0.5065444793308007,0.50844350382783,0.13984829642418178,0.01384176302828537
std,0.096089774533146,0.024963427116143588,0.032999319118115225,0.05182295953931969,0.08228448448282194,0.09800515445994369,0.024962506104429166,0.032289687289612165,0.04562744692891367,0.08687700348873421,0.0,0.12864110936285927,0.10468687635815833,0.0027163276212174765,196.00656645597246,4.897056127933482,0.09802049456997011,0.005076169808273202,0.3123700349498998,3.0635281268033756,0.013847840800251388,3.0635279381100156,0.013847839611400929,0.28794357142269206,0.28948920152718405,0.2884286508808288,0.0,7.737404642360721e-19
min,0.0,0.0,0.0,0.0,0.0,0.006482982171799027,0.0,0.0,0.0,0.006,0.05639648146625077,0.025044722719141325,-0.3719382067208154,0.975609756097561,12.0,1851.0,0.005539141074270809,0.47111837692823605,-0.6562200784683228,19.433147430419922,1.7816537618637085,19.433147430419922,1.7816537618637085,0.0008795074758135568,0.0008795074758135568,0.0008795074758135568,0.13984829642418176,0.01384176302828537
25%,0.25,0.0,0.05,0.16,0.25,0.1055527763881941,0.0,0.05,0.16,0.18,0.05639648146625077,0.08521303258145363,-0.024939382160771465,0.9975490196078431,211.0,1999.0,0.10560560560560561,0.49606299212598426,-0.3513646423816681,23.193265914916992,1.8270370960235596,23.193265914916992,1.82703697681427,0.2532981530343008,0.25593667546174137,0.2629727352682498,0.13984829642418176,0.01384176302828537
50%,0.3090128755364807,0.02,0.07,0.19,0.3051948051948052,0.1570785392696348,0.02,0.07,0.19,0.25,0.05639648146625077,0.12994350282485875,0.03670156859048551,1.0,315.0,2000.0,0.1570785392696348,0.4979928899422308,-0.17038437724113464,24.994844436645508,1.8383084535598755,24.994844436645508,1.838308334350586,0.5013192612137203,0.5101143359718557,0.51363236587511,0.13984829642418176,0.01384176302828537
75%,0.3541147132169576,0.04,0.09,0.22,0.342,0.22083124687030545,0.04,0.09,0.22,0.322,0.05639648146625077,0.2076923076923077,0.09458928773317461,1.0,443.0,2000.0,0.22022286697296262,0.49940338478420176,0.15485058724880219,27.246007919311523,1.8474615812301636,27.246007919311523,1.8474615812301636,0.7607739665787159,0.7581354441512753,0.7510993843447669,0.13984829642418176,0.01384176302828537
max,0.616580310880829,0.14,0.18,0.31,0.416,0.5795,0.14,0.18,0.31,0.416,0.05639648146625077,1.0,0.6028858817017541,1.0,1159.0,2000.0,0.5797898949474737,0.6036242981112813,0.664121150970459,53.00450897216797,1.8973746299743652,53.0045051574707,1.8973746299743652,1.0,1.0,1.0,0.13984829642418176,0.01384176302828537
