statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
count,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.167476871444776,0.023221830985915494,0.04736822449850618,0.08172588561502285,0.13135969432701536,0.24571230623409646,0.023221830985915494,0.04743838028169014,0.08172095070422535,0.12612323943661974,0.2573487285508503,0.4525507754883611,0.2285226005505541,0.9774549905028386,496.8882042253521,1982.9198943661972,0.2399639765558406,0.4721307064664242,0.16460522951757398,0.0605252848341274,0.08788937289582592,0.06052528470787417,0.08788937290894314,0.6417137286748661,0.5893656392580837,0.6269752095318388,0.15782740816926746,0.29342430344101134
std,0.10762807396291964,0.02521114533255756,0.0230192365327207,0.020913163272453263,0.041223584617977684,0.11625476366138143,0.02521114533255756,0.02291615990271879,0.02068987582278651,0.04557113572201818,0.0,0.09427416286436556,0.188021891465665,0.013579428123268428,231.38612541062886,32.647897442097445,0.11707556117235603,0.01793369361993427,0.1651177145210586,0.06543192015684292,0.024743111599430077,0.06543191866966429,0.024743111579581093,0.2718118499526051,0.28503054072044376,0.2697858530015922,0.0,0.0
min,0.0,0.0,0.0,0.0,0.0,0.01240694789081886,0.0,0.0,0.01,0.004,0.2573487285508502,0.1841779975278121,-0.35498641343416626,0.75,20.0,1209.0,0.008892026942724092,0.405028719599998,-0.2984224855899811,0.030679188668727875,0.06970593333244324,0.030679190531373024,0.06970593333244324,0.0008802816901408717,0.0008802816901408717,0.0035211267605633756,0.15782740816926744,0.2934243034410114
25%,0.102803738317757,0.0,0.03,0.07,0.1026252983293556,0.16440422322775264,0.0,0.03,0.07,0.092,0.2573487285508502,0.3760869565217391,0.10514604371994608,0.9706498951781971,334.0,1984.0,0.15782365371040832,0.4622424368371999,0.051627930253744125,0.042328011244535446,0.07934028655290604,0.042328011244535446,0.07934028655290604,0.42517605633802813,0.3573943661971831,0.4322183098591549,0.15782740816926744,0.2934243034410114
50%,0.13034188034188035,0.02,0.04,0.08,0.1266233766233766,0.21937751004016065,0.02,0.04,0.08,0.122,0.2573487285508502,0.46195652173913043,0.22557325181291862,0.9792207792207792,444.0,1987.0,0.21303033922917897,0.47174118316927977,0.15370894968509674,0.04918697848916054,0.08301237225532532,0.04918697476387024,0.08301236480474472,0.6980633802816901,0.6170774647887324,0.6628521126760563,0.15782740816926744,0.2934243034410114
75%,0.18805309734513273,0.04,0.06,0.095,0.158,0.2964267740312028,0.04,0.06,0.095,0.158,0.2573487285508502,0.5251798561151079,0.3741055527221702,0.9867674858223062,597.0,1990.0,0.29029888775722634,0.48261904836863045,0.2618921399116516,0.06001242250204086,0.08816744387149811,0.06001242622733116,0.08816744387149811,0.8811619718309859,0.8397887323943662,0.8644366197183099,0.15782740816926744,0.2934243034410114
max,0.656437125748503,0.14,0.14,0.195,0.306,0.6673356748620171,0.14,0.14,0.195,0.306,0.2573487285508502,0.6857142857142857,0.666451618786812,1.0,1336.0,1997.0,0.6668439398651973,0.5632189378000182,0.762414276599884,1.450330376625061,0.26424747705459595,1.450330376625061,0.26424747705459595,1.0,1.0,1.0,0.15782740816926744,0.2934243034410114
