statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
count,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.19075231927495107,0.025880281690140845,0.04737015380941437,0.07708110612141231,0.13839369069735863,0.2642058143436316,0.025880281690140845,0.047367957746478874,0.0770906690140845,0.13497887323943658,0.13945058642765587,0.46324048974869525,0.3559963218649339,0.9902166117366306,530.175176056338,1990.588028169014,0.26159340126168235,0.48818342098289685,0.1977300724778052,0.19205933212446916,0.10088234946367816,0.19205933204576583,0.10088234936529902,0.6259500223170007,0.5300868813231501,0.5345867015473121,0.08630959018677783,0.15918528413788516
std,0.1340599211140787,0.026521036755401812,0.024157381222772403,0.024056122799798085,0.05446618534182897,0.13445475236972268,0.026521036755401812,0.02415132531021067,0.023983468261708857,0.0576087326113891,0.0,0.12836461604704327,0.22718052720824403,0.007323013924988034,268.21588737033164,23.69979641138414,0.1350331452827198,0.014524630623155713,0.44326817211341496,0.17488755592469685,0.027824856408540065,0.17488755595834038,0.02782485686243524,0.2745757749881154,0.29388316221958244,0.2931783138485959,6.1651879545378765e-18,0.0
min,0.0,0.0,0.0,0.0,0.0,0.020186335403726708,0.0,0.0,0.0,0.01,0.13945058642765584,0.1297709923664122,-0.4471287080176051,0.9107142857142857,39.0,1748.0,0.021787709497206705,0.43962852513038386,-0.6888063549995422,0.08203326165676117,0.07928002625703812,0.08203326165676117,0.07928002625703812,0.0008802816901408717,0.0008802816901408717,0.0008802816901408717,0.08630959018677783,0.15918528413788513
25%,0.09866666666666667,0.0,0.03,0.06,0.09815950920245399,0.16516064257028112,0.0,0.03,0.06,0.09,0.13945058642765584,0.35358255451713394,0.21968992256266615,0.9868173258003766,331.0,1992.0,0.1617412961549087,0.482219130346525,-0.19908984005451202,0.12528425455093384,0.09223060309886932,0.12528425455093384,0.09223060309886932,0.4154929577464789,0.2764084507042254,0.28257042253521125,0.08630959018677783,0.15918528413788513
50%,0.14,0.02,0.05,0.075,0.134,0.23034551827741612,0.02,0.05,0.075,0.132,0.13945058642765584,0.4672897196261682,0.40863628658921414,0.992,464.0,1994.0,0.2272254834343304,0.4885121106319263,0.3160199224948883,0.15503719449043274,0.0960632786154747,0.15503719449043274,0.0960632786154747,0.6663732394366197,0.5448943661971831,0.5484154929577465,0.08630959018677783,0.15918528413788513
75%,0.24480712166172106,0.04,0.06,0.09,0.17439293598233996,0.33350025037556336,0.04,0.06,0.09,0.174,0.13945058642765584,0.5669642857142857,0.5299699471012518,0.9952380952380953,669.0,1996.0,0.3316743464194366,0.4938157060846104,0.6033827066421509,0.2097640186548233,0.1006925031542778,0.2097640186548233,0.1006925031542778,0.8714788732394366,0.7940140845070423,0.8028169014084507,0.08630959018677783,0.15918528413788513
max,0.8432657926102503,0.26,0.21,0.26,0.364,0.8387581372058087,0.26,0.21,0.26,0.364,0.13945058642765584,0.8047058823529412,0.7370954334823345,1.0,1678.0,2000.0,0.83787013917333,0.5745500962058427,0.832823634147644,4.97432279586792,0.30498066544532776,4.97432279586792,0.30498066544532776,1.0,1.0,1.0,0.08630959018677783,0.15918528413788513
