statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
count,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.41915891087895546,0.02318661971830986,0.10205265685019206,0.2299460974525954,0.3785590100188099,0.2484448519999541,0.02318661971830986,0.10211267605633803,0.22999559859154933,0.3436161971830986,0.05136672471204677,0.13542081109566761,0.04452487387948668,1.0,496.8882042253521,1999.8617957746478,0.2484430233382536,0.499932831444711,0.07788176587464606,25.521105321360306,1.847106242158883,25.52110533982935,1.8471062412144432,0.5015156962904185,0.5392337519837334,0.5394879178238444,0.42810711289280495,0.061135377564729754
std,0.0684261045354285,0.02525751838378507,0.05178069471964522,0.06575820057202883,0.05399355669362048,0.11569151857188727,0.02525751838378507,0.051672721162173946,0.06540133624302066,0.06606573059799269,3.0825939772689383e-18,0.10255194989096315,0.14335920073764127,0.0,231.38612541062886,4.658118008410872,0.11569537282558734,0.0029767650718467995,0.197501749924789,1.2908935569352233,0.009413995549853628,1.2908935875346546,0.009413998104790655,0.28820142233328067,0.28870186676698,0.28899368180656104,0.0,0.0
min,0.0,0.0,0.0,0.0,0.0,0.010851871947911014,0.0,0.0,0.005,0.012,0.05136672471204677,0.019021739130434784,-0.41275659824046923,1.0,20.0,1843.0,0.007928401124766764,0.40157828282828284,-0.5334576368331909,22.32522201538086,1.8059252500534058,22.32522201538086,1.8059252500534058,0.0008802816901408717,0.0035211267605633756,0.0017605633802817433,0.42810711289280506,0.06113537756472975
25%,0.38580246913580246,0.0,0.06,0.18,0.35125448028673834,0.167,0.0,0.06,0.18,0.306,0.05136672471204677,0.07518796992481203,-0.06430048559202282,1.0,334.0,2000.0,0.167,0.5,-0.05823951214551926,24.58769989013672,1.8412107229232788,24.58769989013672,1.8412106037139893,0.25088028169014087,0.2931338028169014,0.301056338028169,0.42810711289280506,0.06113537756472975
50%,0.41989881956155145,0.02,0.1,0.235,0.38904109589041097,0.222,0.02,0.1,0.235,0.348,0.05136672471204677,0.10633946830265849,0.04188020499679693,1.0,444.0,2000.0,0.222,0.5,0.07711571455001831,25.420806884765625,1.8486957550048828,25.420806884765625,1.8486957550048828,0.5008802816901409,0.5492957746478873,0.5528169014084507,0.42810711289280506,0.06113537756472975
75%,0.4500941619585687,0.04,0.14,0.28,0.4160756501182033,0.2985,0.04,0.14,0.28,0.394,0.05136672471204677,0.16503122212310437,0.1586285514031397,1.0,597.0,2000.0,0.2985,0.5,0.21630612015724182,26.33193016052246,1.853789210319519,26.33193016052246,1.8537893295288086,0.7517605633802817,0.7904929577464789,0.7931338028169014,0.42810711289280506,0.06113537756472975
max,0.6781437125748503,0.14,0.27,0.4,0.478,0.668,0.14,0.27,0.4,0.478,0.05136672471204677,1.0,0.44394202178509207,1.0,1336.0,2000.0,0.668,0.5192692454268293,0.5860356092453003,35.7839469909668,1.8782355785369873,35.7839469909668,1.8782355785369873,1.0,1.0,1.0,0.42810711289280506,0.06113537756472975
