statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
count,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.4013599577588786,0.02137203166226913,0.0816912622121576,0.20932277340747873,0.354116409933717,0.26954890625604444,0.02137203166226913,0.08169744942832013,0.2094283201407212,0.33337906772207565,0.07274175931074024,0.1609943197840215,0.03700025278470449,0.999831547626073,539.1451187335092,1999.8267370272647,0.2694744647300644,0.4998100922262816,-0.11916721220334653,28.299621174392097,1.7872909927116536,28.299621431053787,1.787290997115163,0.5054437413025838,0.5261728893561031,0.5288214677177439,0.02099013273994782,0.011128048831429368
std,0.06523123024575084,0.026019014421182464,0.039547544624175285,0.06016268240405324,0.049115725815824345,0.10870576129458454,0.026019014421182464,0.03953987026179833,0.060035042643034275,0.05427146831182701,0.0,0.10172326768561266,0.11423870323267118,0.0006564221630494271,217.39867126338507,1.7599983980794367,0.10871815497759384,0.0025453461989381958,0.19949816490334127,2.5505946792002683,0.011229662362362575,2.5505948011463713,0.011229660306658087,0.28889312277065127,0.29057540484314714,0.2892044809814278,1.5474809284721443e-18,1.735486830678649e-18
min,0.0,0.0,0.0,0.0,0.0,0.011005502751375688,0.0,0.0,0.0,0.002,0.07274175931074026,0.03508771929824561,-0.309044908285895,0.9908256880733946,22.0,1945.0,0.011230219499744768,0.4949664429530201,-0.5584577322006226,22.91279411315918,1.7494770288467407,22.91279411315918,1.7494772672653198,0.0008795074758135568,0.0017590149516271136,0.0017590149516271136,0.020990132739947827,0.011128048831429366
25%,0.3689516129032258,0.0,0.05,0.165,0.33152173913043476,0.19609804902451225,0.0,0.05,0.165,0.3,0.07274175931074026,0.09640831758034027,-0.05241869707627995,1.0,393.0,2000.0,0.196,0.4993765586034913,-0.26240384578704834,26.45847511291504,1.7815507650375366,26.45847511291504,1.7815507650375366,0.2550571679859279,0.27440633245382584,0.2805628847845206,0.020990132739947827,0.011128048831429366
50%,0.3939393939393939,0.02,0.08,0.215,0.3665768194070081,0.245,0.02,0.08,0.215,0.34,0.07274175931074026,0.13417190775681342,0.0435270452351905,1.0,490.0,2000.0,0.245,0.5,-0.1450696587562561,27.9141902923584,1.7866454124450684,27.9141902923584,1.7866454124450684,0.5013192612137203,0.5373790677220757,0.5382585751978892,0.020990132739947827,0.011128048831429366
75%,0.425,0.04,0.11,0.26,0.386,0.312,0.04,0.11,0.26,0.374,0.07274175931074026,0.19363395225464192,0.13389608594098312,1.0,624.0,2000.0,0.312,0.5,0.0071708341129124165,29.5481014251709,1.7920290231704712,29.5481014251709,1.7920290231704712,0.7581354441512753,0.7810026385224275,0.781882145998241,0.020990132739947827,0.011128048831429366
max,0.7778505897771952,0.22,0.22,0.325,0.4359504132231405,0.763,0.22,0.22,0.325,0.43,0.07274175931074026,1.0,0.28681605303023616,1.0,1526.0,2000.0,0.763,0.5691746835443039,0.5329888463020325,37.34505081176758,1.8673509359359741,37.345054626464844,1.8673509359359741,1.0,1.0,1.0,0.020990132739947827,0.011128048831429366
