statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
count,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.44992469767846105,0.027264731750219876,0.09119613016710641,0.2153928187765649,0.40752052181978654,0.2718469656992084,0.027264731750219876,0.09124890061565522,0.2154661389621812,0.3910624450307828,NaN,0.13223773653150075,-0.008121895618417547,1.0,543.6939313984169,2000.0,0.27184801729777236,0.5000640078702107,-0.15836152968630882,27.485860950399516,1.8217599921406835,27.48586067864008,1.8217599893098562,0.5014863444281229,0.5145791707567245,0.5177514312301734,0.004720163903806716,0.016501550922477022
std,0.04954669107553793,0.025980648875097642,0.04383039156165308,0.05996591253011048,0.05833025916497593,0.08102055833717334,0.025980648875097642,0.04375655444992238,0.0597522978692891,0.05967957696770926,NaN,0.09834373954485215,0.11186162534794687,0.0,162.0411166743467,0.0,0.08101713109702247,0.001969682640502286,0.3175469786049826,2.0095558298771325,0.01528750843716208,2.0095557884215265,0.01528750904189438,0.2887473437637974,0.28910708811549646,0.2861099600312912,3.8687023211803607e-19,0.0
min,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.002,NaN,0.020558002936857563,-0.43356643356643354,1.0,4.0,2000.0,0.002017145738779627,0.5,-0.7403075695037842,22.821575164794922,1.7853846549987793,22.821575164794922,1.7853847742080688,0.0008795074758135568,0.0008795074758135568,0.0035180299032542273,0.004720163903806718,0.01650155092247702
25%,0.4275491949910555,0.0,0.06,0.175,0.38387096774193546,0.216,0.0,0.06,0.175,0.358,NaN,0.07469512195121951,-0.08839678700586748,1.0,432.0,2000.0,0.216,0.5,-0.4177210330963135,26.09222412109375,1.8110542297363281,26.09222412109375,1.8110542297363281,0.2515391380826737,0.2656112576956904,0.2752858399296394,0.004720163903806718,0.01650155092247702
50%,0.4517766497461929,0.02,0.09,0.215,0.42,0.2605,0.02,0.09,0.215,0.4,NaN,0.10352941176470588,-0.021187292028823336,1.0,521.0,2000.0,0.2605,0.5,-0.21472443640232086,27.175790786743164,1.82206130027771,27.175790786743164,1.82206130027771,0.5021987686895338,0.5224274406332454,0.5233069481090589,0.004720163903806718,0.01650155092247702
75%,0.47768595041322315,0.04,0.12,0.26,0.444,0.3145,0.04,0.12,0.26,0.43,NaN,0.15370705244122965,0.06230670286053595,1.0,629.0,2000.0,0.3145,0.5,0.07858078926801682,28.57974624633789,1.8304318189620972,28.579742431640625,1.8304316997528076,0.7510993843447669,0.7660510114335972,0.7695690413368513,0.004720163903806718,0.01650155092247702
max,0.7660702451954937,0.16,0.24,0.395,0.5232323232323233,0.7545,0.16,0.24,0.395,0.52,NaN,1.0,0.3569242815240143,1.0,1509.0,2000.0,0.7545,0.5662468513853904,0.6919477581977844,38.60960006713867,1.9060791730880737,38.60960006713867,1.9060791730880737,1.0,1.0,1.0,0.004720163903806718,0.01650155092247702
