statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
count,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.25435271441575036,0.042516702780787285,0.07815320548386467,0.13716078344661722,0.23090663342759113,0.2745786025155673,0.0425,0.07813380281690141,0.13602560630052501,0.23124919784982081,0.1383344934032159,0.4177708301936948,-0.015372498585152482,0.8621588638374817,360.13204225352115,1127.237676056338,0.3026104908620257,0.7268635353063307,0.16376829334194715,0.22097397181139866,0.1360066792481697,0.22097397094566218,0.1360066791104389,0.5282984216921246,0.5163836230410633,0.518960926651458,0.585728862504779,0.37352171197512746
std,0.18408007368052545,0.031939582775965945,0.04074241345799886,0.06678859706659729,0.144765062353019,0.1467609617523137,0.03194847172894156,0.04077059126220093,0.06762339127841087,0.14060646175898583,0.0,0.15873821679045383,0.18567242123504638,0.07631630988156284,201.2666370799301,158.4316966113738,0.15706129445355307,0.039343186034362404,0.4270640504900585,0.10287657347865846,0.01701630369873405,0.1028765701143928,0.017016303526053916,0.29348068581562514,0.292157006163342,0.29141696287513935,0.0,0.0
min,0.0,0.0,0.0,0.0,0.0,0.01726121979286536,0.0,0.0,0.005,0.002,0.13833449340321594,0.13260530421216848,-0.8248350047355927,0.171875,25.0,169.0,0.01589789671790327,0.4976395939086295,-0.6138713359832764,0.05027987062931061,0.082154780626297,0.05027987062931061,0.0821547731757164,0.0008802816901408717,0.0017605633802817433,0.0017605633802817433,0.5857288625047788,0.37352171197512746
25%,0.10144927536231885,0.02,0.05,0.085,0.10144927536231885,0.16774791473586653,0.02,0.05,0.085,0.112,0.13833449340321594,0.2786885245901639,-0.16124045038317195,0.8194945848375451,213.0,998.0,0.18447650390383458,0.7032267269308474,-0.26849377155303955,0.1564861536026001,0.12356828153133392,0.1564861536026001,0.12356828153133392,0.2640845070422535,0.2579225352112676,0.26584507042253525,0.5857288625047788,0.37352171197512746
50%,0.1971326164874552,0.04,0.07,0.13,0.1971326164874552,0.23547169811320753,0.04,0.07,0.13,0.192,0.13833449340321594,0.42045454545454547,-0.042246362389595594,0.8725637181409296,304.0,1121.0,0.26568789921175434,0.7287120381995122,0.24989165365695953,0.1944507509469986,0.13348528742790222,0.1944507509469986,0.13348528742790222,0.5387323943661972,0.5176056338028169,0.5176056338028169,0.5857288625047788,0.37352171197512746
75%,0.375,0.06,0.1,0.18,0.364,0.3539741219963031,0.06,0.1,0.18,0.358,0.13833449340321594,0.5544554455445545,0.13821664393411295,0.9193324061196105,460.0,1237.0,0.39439929793931566,0.7507125790525426,0.5670843124389648,0.2738817632198334,0.14885640144348145,0.2738817632198334,0.14885640144348145,0.789612676056338,0.7711267605633803,0.7772887323943662,0.5857288625047788,0.37352171197512746
max,0.7943585077343039,0.16,0.25,0.35,0.554,0.7881429816913688,0.16,0.25,0.35,0.554,0.13833449340321594,0.7577092511013216,0.5128592478363879,0.9837067209775967,1192.0,1755.0,0.8065865703711814,0.8340722501456383,0.8713328242301941,1.909125566482544,0.3309447169303894,1.9091254472732544,0.3309447169303894,1.0,1.0,1.0,0.5857288625047788,0.37352171197512746
