statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
count,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.4127934824468489,0.04631486367634125,0.08660063339440308,0.17859141894822655,0.3614406827051659,0.4008811672062373,0.04631486367634125,0.08662269129287599,0.1786939313984169,0.3650496553913488,0.5193544564953829,0.481085575109326,0.07051102031130717,0.8942869821060359,539.1451187335092,1184.7467018469656,0.47671486234915533,0.7771607583265056,0.25342454124023367,0.39649675199360623,0.1640614224638767,0.3964967521639801,0.1640614224311125,0.6011228610834572,0.560713476266835,0.5508377753488829,0.5865624587647151,0.4028504351992611
std,0.14059477161128212,0.03265077807351953,0.03345522501223848,0.040761187514134836,0.08249610036475466,0.13077888127022616,0.03265077807351953,0.0334046774810014,0.04048110200858909,0.0756837702027667,4.9519389711108617e-17,0.1591023713820797,0.15769276919086078,0.06411817241703623,217.39867126338507,154.2784290524466,0.1430552907462851,0.03690009656108485,0.22381849911010235,0.07900609213772324,0.011265801443525528,0.07900609254429057,0.011265801274405634,0.2821946196737053,0.288083002606655,0.2904449080425218,4.9519389711108617e-17,0.0
min,0.0,0.0,0.0,0.0,0.0,0.004866180048661801,0.0,0.0,0.0,0.004866180048661801,0.5193544564953829,0.06451612903225806,-0.5252642804455444,0.06451612903225806,22.0,227.0,0.011084051249095813,0.41539016038925936,-0.4190993010997772,0.1265982687473297,0.09716273844242096,0.1265982836484909,0.09716273099184036,0.004397537379067673,0.0008795074758135568,0.0008795074758135568,0.5865624587647151,0.40285043519926106
25%,0.3162162162162162,0.02,0.06,0.155,0.31536388140161725,0.30745341614906835,0.02,0.06,0.155,0.32,0.5193544564953829,0.3333333333333333,-0.05564658120338972,0.8752783964365256,393.0,1086.0,0.3745891867291428,0.7569524021729904,0.12215781956911087,0.35150593519210815,0.1574021428823471,0.35150593519210815,0.1574021428823471,0.37730870712401055,0.3192612137203166,0.3131046613896218,0.5865624587647151,0.40285043519926106
50%,0.3989455184534271,0.04,0.08,0.175,0.3799019607843137,0.375886524822695,0.04,0.08,0.175,0.38,0.5193544564953829,0.5197628458498024,0.10527897712253709,0.9067245119305857,490.0,1181.0,0.4580548327883252,0.7783192006131706,0.27733397483825684,0.38504448533058167,0.1628333479166031,0.38504451513290405,0.1628333479166031,0.6358839050131926,0.5857519788918206,0.5690413368513632,0.5865624587647151,0.40285043519926106
75%,0.49491525423728816,0.06,0.1,0.205,0.418,0.4704510108864697,0.06,0.1,0.205,0.416,0.5193544564953829,0.6196078431372549,0.2026095555989465,0.928395061728395,624.0,1289.0,0.5588524095211602,0.7995541125541126,0.4160263240337372,0.42549410462379456,0.17045001685619354,0.42549407482147217,0.17045001685619354,0.8460861917326297,0.8117854001759015,0.8047493403693932,0.5865624587647151,0.40285043519926106
max,0.8366693354683747,0.26,0.31,0.37,0.564,0.835725677830941,0.26,0.31,0.37,0.564,0.5193544564953829,0.7669491525423728,0.40340456299000615,0.98635477582846,1526.0,1787.0,0.8976953565342709,0.8721998952562088,0.8782727122306824,1.45249605178833,0.2509863078594208,1.4524961709976196,0.2509863078594208,1.0,1.0,1.0,0.5865624587647151,0.40285043519926106
